车系,车型,指导价 ,展厅/DCC提成,二网提成,销售权限,提成结算价
探界者,1.5T LS+ 6AT FWD（18）,174900,200,100,36000,38000
探界者,1.5T LS+ 6AT FWD（18）,189900,200,100,36000,42000
探界者,1.5T LT 6AT FWD（18）,199900,200,100,36000,42000
探界者,RL2.0T9AT LT AWD(RS)（19）,225900,200,100,36000,44000
探界者,RL2.0T9AT LTZ AWD(RS)（19）,245900,200,100,36000,44000
新科沃兹,1.0T自动欣悦版,89900,600,400,18000,22000
新科沃兹,1.0T自动欣尚版,96900,600,400,18000,22000
新科沃兹,1.0T自动欣耀版,99900,600,400,18000,22000
XL,READLINE 550T 锐动版,194900,200,100,36000,42000
XL,READLINE 550T 锐联版,204900,200,100,36000,42000
XL,READLINE 550T 锐智版,219900,200,100,36000,42000
XL,535T锐行版,154900,500,300,32000,37000
XL,535T锐动版,164900,500,300,32000,37000
XL,535T锐联版,174900,500,300,32000,37000
沃兰多,1.3T LS AT(7SEAT),139900,200,200,28000,30000
沃兰多,1.3T LT AT (7SEAT)REDLINE,149900,200,200,28000,30000
沃兰多,1.3T LTZ AT(7SEAT)REDLINE,154900,200,200,28000,30000
沃兰多,1.3T LS AT(5SEAT),134900,200,200,28000,30000
沃兰多,1.3T LT AT (5SEAT)REDLINE,144900,200,200,28000,30000
科鲁泽,320T手动,89900,200,300,18000,20000
科鲁泽,320T双离合欢快版,104900,200,300,28000,32000
科鲁泽,320T双离合爽快版,109900,200,300,28000,32000
科鲁泽,330T自动畅快版,114900,300,300,28000,32000
科鲁泽,330T自动痛快版,119900,300,300,28000,32000
新创酷,1.0T LS 6MT,99900,500,300,18000,22000
新创酷,1.0T LS 6AT,109900,500,300,18000,22000
新创酷,1.0T LS 6ATRL版,127900,500,300,18000,22000
新创酷,1.35T LS CVT RL版,127900,500,300,18000,22000
新创酷,1.35T LT CVT RL版,134900,500,300,18000,22000
新创酷,1.35T LTZ CVT RL版,139900,500,300,18000,22000
创界,435T逸锐版,139900,800,500,0,5000
创界,435T锋锐版,149900,800,500,0,5000
创界,435T驰锐版,159900,800,500,0,5000
创界,435T RS劲锐版,169900,800,500,0,5000
创界,435T RS悍锐版,179900,800,500,0,5000
