1,stype,ltype,clr,vsc,price,订单配额,调整配额,Calloff,已成功,未Call车
 ,全新迈锐宝XL LS ,全新迈锐宝XL 535T 锐行版(Leather)(S-SRF) 19 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白; ,重庆VSC ,"148,704",0,0,0,0,0
,全新迈锐宝XL LT ,全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白; ,重庆VSC ,"158,304",0,0,0,0,0
,全新迈锐宝XL LT ,全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19 ,黯影灰;寒光灰;霜灰; ,重庆VSC ,"158,304",0,0,0,0,0
,全新迈锐宝XL LT ,全新迈锐宝XL 550T 锐动版(B-SRF)(18*)(redline) 19 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白; ,重庆VSC ,"187,104",0,0,0,0,0
,全新迈锐宝XL LT ,全新迈锐宝XL 550T 锐动版(B-SRF)(18*)(redline) 19 ,黯影灰;寒光灰;霜灰; ,重庆VSC ,"187,104",0,0,0,0,0
,全新迈锐宝XL LT ,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白; ,重庆VSC ,"196,704",0,0,0,0,0
,探界者 LS ,探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白; ,重庆VSC ,"182,304",0,0,0,0,0
,探界者 LT ,探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5 ,玄铁灰;峡谷灰; ,重庆VSC ,"191,904",0,0,0,0,0
,探界者 LT ,探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白; ,重庆VSC ,"216,864",0,0,0,0,0
,探界者 LTZ ,探界者 550T 9速 四驱捍界版(Black)(RS&redline)(GB6) 19.5 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白; ,重庆VSC ,"236,064",0,0,0,0,0
 ,沃兰多 LT ,沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白; ,成都VSC ,"143,904",0,0,0,0,0
,科鲁泽 LS ,科鲁泽 Redline 320T双离合 欢快版(SRF)&ACC 20 ,陨铁灰;高冷灰; ,重庆VSC ,"100,704",0,0,0,0,0
,科鲁泽 LT ,科鲁泽 RS 330T自动 畅快版 20 ,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白; ,重庆VSC ,"110,304",0,0,0,0,0
,科鲁泽 LT ,科鲁泽 RS 330T自动 畅快版 20 ,风尚红;玛瑙红;纳帕红;烈焰红;火山红;枫叶红;珊瑚红;日出红;焰光红;任性红;霓红; ,重庆VSC ,"110,304",0,0,0,0,0
,科鲁泽 LT ,科鲁泽 Redline 320T双离合 爽快版 20 ,陨铁灰;高冷灰; ,重庆VSC ,"105,504",0,0,0,0,0
,科鲁泽 LTZ ,科鲁泽 RS 330T自动 痛快版 20 ,陨铁灰;高冷灰; ,重庆VSC ,"115,104",0,0,0,0,0
